name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
Kalonji Mack,RB,5-7.5,172,5.06,4.36,28.4,32.5,65.10
Adam Mitchell,CB,5-10,163,4.63,4.91,33.2,30.0,65.07
Spencer Ruggs,WR,5-10.5,172,4.94,4.53,31.1,32.0,65.04
Bryan Anderson,S,5-10.5,181,4.90,4.50,28.4,32.0,65.04
Dalton Filotei,RB,5-6,148,4.93,4.33,33.0,29.5,64.98
Pernall Dinvaut,RB,5-6.5,170,4.78,4.53,29.7,30.5,64.80
Hoang Nguyen,QB,5-8,157,4.78,4.16,26.3,27.0,64.80
Heath Warren,OL,6-2.5,216,5.29,4.25,26.3,30.0,64.80
Tyler Browning,WR,5-8.5,159,4.97,4.30,28.2,31.5,64.80
James Mayberry Jr,RB,5-6.5,183,4.83,4.35,29.0,27.5,64.77
Stanley Higgins,TE,6-1.5,214,4.94,4.81,29.9,31.5,64.74
Brendon Alexander,RB,5-5,203,5.19,4.81,28.6,37.0,64.71
De'mon Anderson,RB,5-8,181,4.92,4.52,29.1,32.0,64.65
Dance Estes,LB,6-0,223,5.11,4.68,27.7,33.0,64.62
Kent Shelby,WR,6-1.5,176,4.87,4.81,34.2,31.0,64.59
Alexander Williams,DL,5-8.5,298,5.84,4.32,18.5,31.0,64.50
Rodrick Dedrick,WR,5-9,150,4.74,4.56,32.3,30.0,64.44
Theron Hodges,TE,6-1,260,5.38,4.63,26.0,32.0,64.41
Mj Shirley,LB,5-8,187,4.94,4.72,33.3,30.5,64.35
Tory Radcliff,DE,5-7.5,258,5.05,4.72,28.9,27.5,64.32
Terik Miller,RB,5-11,183,4.93,4.47,29.1,31.0,64.32
Kyle Brown,RB,5-6.5,168,4.72,4.41,28.7,28.0,64.23
Michael Gosserand,RB,5-8,143,4.76,4.44,33.7,28.0,64.23
Trenton Newson,RB,5-9.5,185,4.81,4.53,25.6,32.0,64.08
Xavier Woodard,DL,5-11,333,6.01,5.18,20.6,35.0,64.08
Garrett Brumfield,OL,6-3,265,5.32,4.94,26.0,34.0,64.08
Gregory Robertson,RB,5-7,161,4.77,4.69,31.6,31.5,64.05
Marquise Jackson,RB,5-7,154,4.92,4.34,32.0,29.0,64.02
Lloyd Time,LB,6-1,209,5.07,4.43,26.5,31.0,63.99
Jarvis Hankerson,WR,6-.5,168,4.82,4.59,28.7,32.5,63.81
Kwanstan Adkins,CB,6-0,163,4.96,4.34,29.3,30.5,63.75
Corey Brown,DE,5-11,249,5.07,5.16,27.0,33.5,63.69
Devonte Orso,CB,5-11.5,174,4.77,4.81,29.1,33.0,63.66
Felix Gray,CB,5-10.5,187,5.09,4.46,30.6,30.5,63.60
Roderick Proctor,WR,5-10.5,154,4.87,4.59,33.4,31.0,63.60
Dylan Holt,CB,5-7.5,161,4.96,4.56,34.4,30.5,63.48
Xavier Fields,OL,6-3,351,5.87,5.66,21.0,32.5,63.48
Chad Cook,WR,5-9.5,141,4.68,4.44,31.8,27.5,63.33
Christian Smith,CB,5-5,150,4.82,4.27,29.3,28.0,63.30
Grayson Domingue,WR,6-2,187,4.94,4.50,27.6,31.5,63.21
Reagan Alexander,WR,6-1.5,179,4.96,4.44,30.1,30.0,63.15
Lamarcus Sanders,LB,6-.5,216,4.87,4.84,27.2,32.0,63.15
Lamarkez Spears,RB,5-10,161,5.08,4.35,26.6,34.0,63.12
Wallacece Pruitt,TE,6-1.5,192,5.03,4.59,29.0,32.5,63.03
Jemauri Irby,CB,5-7,137,4.73,4.44,35.9,24.5,63.00
Andre Winston,CB,5-9.5,163,4.81,4.50,31.3,29.0,62.94
Kaderine Johnson,OL,6-.5,322,5.94,5.33,22.0,34.5,62.91
Tyler Beard,DB,5-10.5,168,4.77,4.71,29.4,32.0,62.85
Dante Young,CB,5-7,163,4.89,4.59,30.0,32.5,62.85
Darren Dowdell,WR,6-2.5,216,5.06,4.60,25.5,33.0,62.76
Ryan Dauphin,TE,6-.5,194,5.20,4.38,28.3,31.0,62.70
Cole Mickens,RB,5-7,196,5.17,4.57,31.4,31.0,62.64
Logan Burns,S,5-10,157,4.70,4.63,31.3,29.5,62.64
Jackson Hendrix,LB,6-2.5,183,5.05,4.35,28.6,30.0,62.61
Torri Cook,LB,5-7.5,159,4.85,4.56,27.1,34.0,62.58
Justin Mosley,LB,5-8.5,196,5.07,4.41,26.9,31.0,62.55
Traveon Gayden,WR,5-7,141,4.77,4.41,30.4,29.5,62.52
Austin Haddock,WR,5-7.5,154,4.91,4.46,30.6,31.0,62.28
Harrison Collier,LB,5-11.5,196,4.84,4.47,29.4,26.0,62.25
Hunter Jenkins,DL,5-10.5,214,5.09,4.66,29.4,31.0,62.25
Dandre Smith,RB,5-8,154,4.88,4.46,26.1,33.5,62.25
Shaquil Ward,WR,6-1.5,185,4.99,4.81,29.6,34.5,62.22
Demetrius Smith,DB,5-11.5,157,4.71,4.63,31.3,29.5,62.19
Dondrell Harris,S,5-10,179,4.89,4.50,26.9,31.5,62.13
Marquise Hatcher,LB,5-9,157,4.71,4.62,31.1,29.5,62.13
Romarius Smith,RB,5-8,161,4.79,4.65,31.2,30.5,62.10
Bryce Woodham,LB,5-9,179,5.03,4.44,31.7,29.0,62.10
Garrett Duplechain,RB,5-6,159,4.92,4.49,30.6,31.0,62.01
Jr Ray,RB,5-3.5,128,4.87,4.36,30.5,31.0,61.98
Terrence Carter,OL,6-2,328,6.09,5.19,21.3,33.5,61.98
Trey Bates,QB,6-1,198,5.31,4.41,25.4,34.0,61.92
Terrien Steele,DE,6-2.5,282,5.53,5.00,23.9,34.0,61.86
Dylan Cox,LB,6-0,247,5.25,4.69,23.2,34.0,61.74
Tavin Richardson,CB,5-9,157,5.01,4.50,31.3,32.0,61.74
Jordan Banks,QB,5-11,170,4.98,4.31,29.1,28.5,61.68
Devin Smith,DE,6-1,245,5.18,4.61,25.1,31.0,61.68
Leon Tucker,CB,6-0,172,4.96,4.59,34.3,28.5,61.59
Blake Parker,CB,5-7,152,4.81,4.94,34.2,32.0,61.59
Adam Ziepke,OL,6-2.5,291,5.85,5.03,19.2,38.5,61.59
Chason Milner,WR,6-3,198,5.19,4.44,27.5,31.5,61.59
Nick Riley,RB,5-7.5,165,4.82,4.60,31.6,29.5,61.35
Vohn Keith,S,6-1,190,5.07,4.65,30.2,32.0,61.35
Byran Brower,RB,5-6,150,4.83,4.37,31.2,27.5,61.32
Jason Lockamy,DE,5-11.5,203,5.14,4.43,25.3,32.0,61.26
